section,id,question,options,correct,multi,notas,metrics,second_question,second_options,second_correct,second_explanation
Implement a Data Warehouse with Microsoft Fabric,1,What workload is a Fabric Data Warehouse optimized for?,OLTP;Analytical queries over structured data;Hosting web APIs;Email campaigns,2,false,,3;2,,,,
Implement a Data Warehouse with Microsoft Fabric,2,Which features are typical in Fabric Data Warehouses?,SQL endpoint;Table indexing;Row-level security;Notebook autosave,1;2;3,true,,3;1,,,,
Implement a Data Warehouse with Microsoft Fabric,3,Which schema design is common in data warehouses?,Star schema;Snowflake schema;3NF for OLTP;Mesh of random tables,1;2,true,,3;1,,,,
Implement a Data Warehouse with Microsoft Fabric,4,Which operations are typical when loading a warehouse?,Truncate and reload;Incremental loads;CDC-based loads;Manual editing of each row,1;2;3,true,,3;1,,,,
Implement a Data Warehouse with Microsoft Fabric,5,Which tools can query a Fabric Data Warehouse?,T-SQL;Power BI;Excel with connector;Microsoft Word,1;2;3,true,,4;2,,,,
Implement a Data Warehouse with Microsoft Fabric,6,You need to load a large fact table every night and users must never see partially loaded data. Which pattern should you implement?,Directly overwrite the fact table row by row;Truncate and load inside a single transaction;Append rows without any transaction;Delete and reinsert individual rows in a loop,2,false,,4;0,,,,
Implement a Data Warehouse with Microsoft Fabric,7,You are designing a star schema. Where should relatively static attributes like ProductCategory and Brand be stored?,Only in the fact table;In a dimension table referenced by the fact table;In a KQL database;In files in a lakehouse folder,2,false,,4;0,,,,
Implement a Data Warehouse with Microsoft Fabric,8,A team complains that queries filtering on Date and Customer are slow on a large fact table. Which action is most appropriate?,Drop all indexes on the table;Create a clustered index on relevant key columns;Move the table to a lakehouse;Store the table as CSV files,2,false,,4;0,,,,
Implement a Data Warehouse with Microsoft Fabric,9,You must ensure regional managers only see rows for their assigned region. How should you implement this in a Fabric data warehouse?,Create separate copies of the table per region;Filter data in Power BI only;Define row-level security predicates in the warehouse;Store region data in a KQL database,3,false,,4;0,,,,
Implement a Data Warehouse with Microsoft Fabric,10,New and updated rows for a fact table are identified by a LastModifiedDate column. Which T-SQL construct is best to apply inserts and updates in a single step?,Simple INSERT INTO with SELECT;MERGE statement using business key and LastModifiedDate;DELETE followed by full reload;UPDATE without WHERE clause,2,false,Which T-SQL construct is best - meaning of this,4;0,,,,
