section,id,question,options,correct,multi,notas,metrics,second_question,second_options,second_correct,second_explanation
Get started with lakehouses in Microsoft Fabric,1,What is the main purpose of a lakehouse in Microsoft Fabric?,To combine data lake flexibility with warehouse-style analytics;To host OLTP transactional systems;To replace Git repositories;To manage email campaigns,1,false,Lakehouses merge lake and warehouse capabilities for analytics on OneLake.,5;3,Which key capability makes a Fabric lakehouse different from a simple file store?;Support for tables over files with SQL access;Support for emails only;Only unstructured blobs;Only virtual machines,1,"A lakehouse exposes both files and tables, enabling SQL analytics on top of OneLake storage.",
Get started with lakehouses in Microsoft Fabric,2,Which items are core components of a Fabric lakehouse?,Files and tables;Dashboards and reports only;Pipelines and notebooks only;Power BI apps only,1,false,Lakehouses organize data into Files and Tables areas.,4;4,Where are these lakehouse items stored?,In OneLake under the workspace;In a local SQL Server database;Only in SharePoint;On a user’s desktop,1,"Lakehouse data is stored in OneLake, Fabric’s unified data lake."
Get started with lakehouses in Microsoft Fabric,3,Which operation can you perform directly in a Fabric lakehouse?,Upload files;Create managed tables;Query tables with SQL;All of the above,4,false,"Lakehouses support file ingestion, table creation, and SQL analytics.",6;1,Through which endpoint can you run T-SQL queries over lakehouse tables?,SQL analytics endpoint;Only Spark;Only Power BI Desktop;Only Excel,1,The SQL analytics endpoint exposes lakehouse tables for T-SQL querying.
Get started with lakehouses in Microsoft Fabric,4,Which scenario is an ideal use case for a lakehouse?,Analytics that combine raw files with curated tables;High-frequency OLTP transaction processing;Email marketing;Version control for code,1,false,Lakehouses are built for analytics scenarios mixing files and structured tables.,6;1,Which user roles are typical consumers of a lakehouse?,"Data engineers, analysts, and data scientists;Only HR staff;Only finance approvers;Only marketing interns",,
Get started with lakehouses in Microsoft Fabric,5,Which action is commonly performed when preparing a new lakehouse?,Create the lakehouse item in a workspace;Create a VM;Install SQL Server on-premises;Configure on-premises clusters manually,1,false,You start by creating a lakehouse item in a Fabric workspace.,5;3,After creating a lakehouse, which is a common next step?,Upload or ingest data into Files and Tables;Configure email alerts only;Create Teams channels;Install local drivers,1
Use Apache Spark in Microsoft Fabric,1,What does Apache Spark provide in Microsoft Fabric?,Distributed processing for large-scale data analytics;Only simple single-threaded queries;Email handling;Dashboard theming,1,false,Spark offers distributed compute for big data analytics over lakehouse data.,4;0,Where does Spark typically read and write data in Fabric?,Lakehouse files and tables;Local temp folders only;Exchange mailboxes;SharePoint calendars,1,Spark integrates with lakehouse storage (files and Delta tables) in OneLake.
Use Apache Spark in Microsoft Fabric,2,Which artifact do you use to write interactive Spark code in Fabric?,Spark notebooks;PowerPoint slides;Email templates;Pipeline templates,1,false,Spark notebooks let you author and run interactive code against Spark clusters.,4;0,Which languages are typically supported in Fabric Spark notebooks?,PySpark, Scala, SQL
Use Apache Spark in Microsoft Fabric,3,Which Spark abstraction is most commonly used to represent tabular data in memory?,Dataframe;Stored procedure;Email thread;Pivot chart,1,false,"Spark dataframes represent distributed, tabular data for processing.",3;1,How can you persist a dataframe as a table in a lakehouse?,Write it as a Delta table to the lakehouse;Paste it into Excel;Send it by email;Screenshot the notebook,1,You typically write dataframes as Delta tables stored in the lakehouse.
Use Apache Spark in Microsoft Fabric,4,Which scenario is a good fit for using Spark in Fabric?,Processing large volumes of data with complex transformations;Sending small ad-hoc queries to OLTP;Designing slide decks;Managing users in Entra ID,1,false,"Spark is well suited for large-scale, compute-intensive transformations.",4;0,Which type of workload benefits most from Spark’s distributed nature?,Big data ETL and advanced analytics;Single-row updates only;Manual file renames;Inbox triage,1,Distributed compute helps handle big data ETL and analytical workloads efficiently.
Use Apache Spark in Microsoft Fabric,5,Which feature in Fabric allows you to schedule non-interactive Spark workloads?,Spark job definitions;PowerPoint animations;Excel macros;Manual notebook copy,1,false,Spark job definitions let you operationalize Spark workloads.,4;0,How do you typically orchestrate Spark jobs alongside other activities?,Use Data Factory pipelines;Send emails;Create Teams meetings;Print run logs,1,Pipelines orchestrate Spark jobs together with other data movement and transformation tasks.
