section,id,question,options,correct,multi,notas,metrics,second_question,second_options,second_correct,second_explanation
Get started with Real-Time Intelligence in Microsoft Fabric,1,What is the primary purpose of Real-Time Intelligence in Microsoft Fabric?,To analyze and act on data as events occur;To store data only for long-term archival;To batch-load data once per day;To replace all historical analytics workloads;To generate static PDF reports,1,false,,3;0,,,,
Get started with Real-Time Intelligence in Microsoft Fabric,2,Which component is mainly responsible for capturing and routing streaming events in Real-Time Intelligence?,Eventstream;Eventhouse;Activator;Real-Time Dashboard;Power BI semantic model,1,false,,3;0,,,,
Get started with Real-Time Intelligence in Microsoft Fabric,3,Which workload in Fabric is most closely associated with Kusto Query Language (KQL) for time-series and log data?,Real-Time Intelligence;Data Factory;Synapse Data Engineering;Data Science;Power BI Semantic Models,1,false,,3;0,,,,
Get started with Real-Time Intelligence in Microsoft Fabric,4,Why is Real-Time Intelligence described as event-driven instead of schedule-driven?,Actions are triggered by incoming events rather than fixed refresh times;All processing must run at midnight;Queries are only allowed on a daily schedule;It supports only historical snapshots;It disables any streaming ingestion,1,false,,3;0,,,,
Get started with Real-Time Intelligence in Microsoft Fabric,5,What role does an Eventhouse play in a Real-Time Intelligence solution?,Stores ingested events for fast analytical queries;Acts only as a visualization canvas;Replaces OneLake as a storage account;Hosts only machine learning models;Serves purely as a streaming gateway,1,false,,3;0,,,,
Get started with Real-Time Intelligence in Microsoft Fabric,6,Which data characteristics are especially well suited for KQL databases in Real-Time Intelligence?,Time-series log and telemetry data;Highly normalized OLTP records only;Only small CSV files under 1 MB;Exclusively unstructured binary blobs;Slowly changing dimension tables only,1,false,,3;0,,,,
Get started with Real-Time Intelligence in Microsoft Fabric,7,What is the typical flow of data in a Real-Time Intelligence scenario?,Eventstream → Eventhouse → KQL queries → Dashboards/Actions;PowerPoint → Excel → Fabric → Eventhouse;SQL DB → Dataflow → Warehouse → Dashboard;OneLake → Lakehouse → Notebook → Dashboard;SharePoint → Power Apps → Copilot → OneLake,1,false,,2;0,,,,
Get started with Real-Time Intelligence in Microsoft Fabric,8,How does Real-Time Intelligence integrate with OneLake in Fabric?,Data is logically unified so Real-Time data and OneLake share a single logical copy;Real-Time data is stored in a completely separate physical lake with no linkage;OneLake can only read data exported as CSV from Eventhouse;Real-Time Intelligence cannot access OneLake at all;OneLake is replaced entirely by Eventhouse storage,1,false,,4;1,,,,
Get started with Real-Time Intelligence in Microsoft Fabric,9,Which feature enables low-latency visual monitoring of streaming metrics in Real-Time Intelligence?,Real-Time Dashboards;Dataflows Gen2;Paginated reports;Lakehouse Explorer;Power Query Online,1,false,,4;1,,,,
Get started with Real-Time Intelligence in Microsoft Fabric,10,In a Real-Time Intelligence solution which component is primarily responsible for turning detected patterns into automated business actions?,Activator;Eventstream;Eventhouse;Lakehouse;Notebook,1,false,,2;0,,,,
Get started with Real-Time Intelligence in Microsoft Fabric,11,Which statement best describes the relationship between Real-Time Intelligence and Power BI?,Real-Time data can be exposed to Power BI for interactive visualization;Power BI replaces the need for Eventstreams entirely;Power BI cannot connect to KQL databases;Real-Time Intelligence only exports static images to Power BI;Power BI serves solely as a data ingestion engine,1,false,,2;0,,,,
Get started with Real-Time Intelligence in Microsoft Fabric,12,What is one key advantage of Real-Time Intelligence for IoT or telemetry scenarios?,Ability to detect anomalies and respond immediately as data arrives;Requirement to store all messages for at least 10 years;Exclusive support for on-premises devices only;Limitation to CSV uploads instead of streaming;Enforcement of batch aggregation only at hour granularity,1,false,,2;0,,,,
Get started with Real-Time Intelligence in Microsoft Fabric,13,Why is Kusto Query Language commonly used in Real-Time Intelligence solutions?,It is optimized for fast analytical queries over large time-series datasets;It is designed only for transactional CRUD operations;It only supports ANSI SQL without extensions;It is limited to single-row lookups;It works only on small sample tables,1,false,,2;0,,,,
Get started with Real-Time Intelligence in Microsoft Fabric,14,Which Real-Time Intelligence feature lets you centralize data-in-motion from multiple Fabric items?,Real-Time hub;Data gateway;Lakehouse shortcuts;Dataflows Gen2;Power BI goals,1,false,,2;0,,,,
Get started with Real-Time Intelligence in Microsoft Fabric,15,Which scenario is the best fit for Real-Time Intelligence compared to traditional batch analytics?,Detecting fraud patterns within seconds of a transaction;Producing a yearly financial statement;Running a monthly HR headcount report;Generating a static quarterly slide deck;Loading slowly changing dimensions overnight,1,false,,2;0,,,,
Use Eventstream in Microsoft Fabric,1,What is the main function of an Eventstream in Microsoft Fabric?,Capture transform and route real-time events;Ingest and process streaming events before storage;Deliver filtered telemetry into real-time targets;Shape event payloads for multiple sinks;Normalize incoming signals for KQL and dashboards,1,false,,28;7,,,,
Use Eventstream in Microsoft Fabric,2,Which best describes the configuration model for Eventstreams in Fabric?,Visual no-code canvas to wire sources transforms and destinations;Drag-and-drop designer for streaming flows;Graph style editor for defining event paths;Canvas to bind connectors rules and targets;Interactive surface to lay out streaming pipelines,1,false,,6;0,,,,
Use Eventstream in Microsoft Fabric,3,In a typical Eventstream which elements are mandatory to create a working pipeline?,At least one streaming source plus at least one destination;An input connector and an output sink;An origin of events wired to a target;A producer endpoint connected to a consumer endpoint;A live source mapped to a downstream store,1,false,,5;0,,,,
Use Eventstream in Microsoft Fabric,4,Which of the following is a common source type for Eventstreams?,Azure Event Hubs or Kafka brokers;Managed hubs that publish continuous telemetry;Cloud message brokers with partitioned streams;Streaming services emitting ordered events;Real-time ingestion endpoints for telemetry,1,false,,20;5,,,,
Use Eventstream in Microsoft Fabric,5,What is a key purpose of transformations inside an Eventstream?,Filter and reshape events before destinations;Standardize schemas and discard noise in flight;Cleanse enrich and keep only useful attributes;Apply rules that compress raw signals;Prepare the stream for simpler KQL queries,1,false,,20;5,,,,
