section,id,question,options,correct,multi,notas,metrics,second_question,second_options,second_correct,second_explanation
Implement continuous integration and continuous delivery (CI/CD) in Microsoft Fabric,1,What is the main goal of CI/CD in Microsoft Fabric?,To move tested changes between dev - test and prod consistently;To refresh all Power BI datasets every hour;To store all content in a single workspace;To schedule notebooks weekly;To back up workspaces to Azure Storage,1,false,,3;0,,,,
Implement continuous integration and continuous delivery (CI/CD) in Microsoft Fabric,2,How is the “continuous integration” part primarily implemented in Fabric?,By connecting workspaces to Git repositories;By creating daily deployment pipelines;By exporting PBIX files manually;By cloning workspaces via APIs;By scheduling semantic model refreshes,1,false,,20;5,,,,
Implement continuous integration and continuous delivery (CI/CD) in Microsoft Fabric,3,Which Fabric feature implements the “continuous delivery” part of CI/CD?,Deployment pipelines;Git branches;Workspaces;OneLake shortcuts;Monitoring hub,1,false,,4;1,,,,
Implement continuous integration and continuous delivery (CI/CD) in Microsoft Fabric,4,What is a typical pattern for using Git with Fabric items?,Edit in Fabric commit to Git then sync changes between branches;Edit only in Git never in Fabric;Download items edit offline and email changes;Commit directly from Power BI Desktop only;Sync only when workspaces are deleted,1,false,,3;0,,,,
Implement continuous integration and continuous delivery (CI/CD) in Microsoft Fabric,5,Which statement best describes the role of branches in Fabric Git integration?,They isolate changes per environment or feature before merging;They permanently lock items to a single workspace;They are required only for production workspaces;They disable collaboration between developers;They store only semantic model definitions,1,false,,4;1,,,,
Implement continuous integration and continuous delivery (CI/CD) in Microsoft Fabric,6,What is a typical three‑stage structure of a Fabric deployment pipeline?,A development stage for authoring changes a test stage for validating them with controlled users and data and a production stage for trusted broadly consumed content;A single consolidated stage where development testing and production all share the same workspace and capacity;A dual‑stage pipeline that skips testing and moves artifacts directly from development to production to reduce deployment time;A four‑stage pipeline that always includes sandbox user acceptance testing pre‑production and production as mandatory stages;A rotating set of temporary stages that are recreated for every individual deployment and deleted immediately afterward,1,false,,3;0,,,,
Implement continuous integration and continuous delivery (CI/CD) in Microsoft Fabric,7,What does deploying a stage in a Fabric deployment pipeline do?,Copies configured items and updates connections between stages;Deletes the source workspace after deployment;Rebuilds the tenant from backup;Creates new capacities automatically;Converts all items into warehouses,1,false,,3;0,,,,
Implement continuous integration and continuous delivery (CI/CD) in Microsoft Fabric,8,Why is mapping workspaces to pipeline stages important?,It links dev test and prod workspaces to the correct stage;It disables Git integration in those workspaces;It forces all content into a single workspace;It enables only monitoring for those workspaces;It converts them into admin workspaces,1,false,,4;1,,,,
Implement continuous integration and continuous delivery (CI/CD) in Microsoft Fabric,9,Which scenario best fits using Fabric REST APIs in CI/CD?,Automating promotion of items between stages as part of a release;Manually refreshing a single dataset once a month;Exporting reports to PDF for email;Creating ad‑hoc queries in a notebook;Building a custom visual for Power BI,1,false,,8;2,,,,
Implement continuous integration and continuous delivery (CI/CD) in Microsoft Fabric,10,When using Git integration where does the “source of truth” for definitions typically live?,In the Git repository;Only in the production workspace;In the monitoring hub;In OneLake shortcuts;In the admin portal,1,false,,3;0,,,,
